xt,yt,zt
-0.9958104,-0.08111908,-0.042206056
-0.40281498,-0.18075049,-0.8972566
-0.77911836,-0.6207967,-0.08709795
-0.82502264,-0.09171278,-0.55760777
-0.5713005,-0.6180827,-0.5399903
-0.39452556,-0.44323626,-0.8049169
-0.18230782,-0.25522986,-0.9495376
-0.9716585,-0.04320051,-0.23240787
-0.6113533,-0.5836569,-0.5344078
-0.52859616,-0.807431,-0.26199475
-0.79358566,-0.55379343,-0.252061
-0.81233823,-0.315761,-0.49030775
-0.0876767,-0.17257018,-0.98108727
-0.5829986,-0.69280046,-0.4244293
-0.6282816,-0.77309185,-0.08712794
-0.42011485,-0.66286105,-0.61977315
-0.43671623,-0.45743105,-0.7746199
-0.58769953,-0.8042365,-0.088391334
-0.0918882,-0.63238543,-0.76918477
-0.42721078,-0.62313485,-0.655129
-0.25766206,-0.5317871,-0.80672956
-0.98365706,-0.124530844,-0.13004234
-0.040907156,-0.99588096,-0.08091833
-0.1344566,-0.6566476,-0.74211544
-0.7777306,-0.5898352,-0.21732402
-0.52303237,-0.84202963,-0.13199714
-0.97461414,-0.08659563,-0.20646635
-0.90148854,-0.43017218,-0.047649987
-0.5936053,-0.6578956,-0.46347186
